1,11,10,4,14,8,7,3,2
2,13,15,3,1,9,12,5
3,15,18,7,1,2
4,1,14,6,16,8
5,20,17,2,9
6,16,19,4,8
7,18,3,10,22,1
8,19,21,4,6,1
9,20,23,2,12,5
10,11,1,7,22,25
11,26,14,10,1,25
12,9,2,13,24,23
13,2,15,27,24,12
14,26,11,30,16,1,4
15,3,18,28,13,2,27
16,14,30,6,19,4,29
17,93,152,20,5,189,31,55
18,15,3,28,7,33,22
19,8,21,16,6,29,32
20,17,5,9,23,31,34
21,45,56,19,8,32
22,33,35,18,7,10,25
23,20,9,24,36,12,34
24,37,27,36,13,23,12
25,35,38,22,10,11,26
26,11,14,30,39,38,25
27,37,24,13,15,28,40
28,15,18,40,42,33,27
29,32,41,43,16,19,30
30,26,14,16,39,43,29
31,17,20,44,55,34
32,41,45,29,19,21
33,22,35,18,46,42,28
34,36,23,31,20,44,47
35,33,22,25,38,49,46
36,24,37,23,34,47,48
37,24,27,40,36,48,50
38,39,26,54,52,49,35,25
39,38,26,30,43,52
40,28,42,37,27,51,50
41,32,45,29,43,58,53
42,40,28,33,46,57,51
43,53,62,29,41,39,30,52
44,47,59,55,31,34
45,41,32,21,56,58
46,49,61,35,33,42,57
47,60,59,44,36,34,48
48,63,60,50,36,47,37
49,46,61,38,54,35
50,64,63,51,40,48,37
51,65,64,57,42,50,40
52,54,38,43,62,66,39
53,68,58,62,43,41
54,38,52,66,69,61,49
55,70,93,17,44,31,59
56,45,21,82,67,58,95
57,65,71,51,42,46,61
58,68,53,67,56,41,45
59,47,60,44,55,70,72
60,47,59,48,63,73,72
61,46,49,54,69,74,57,71
62,53,43,52,76,79,66,68
63,50,64,48,60,75,73
64,50,63,51,65,75,77
65,57,71,51,64,80,77
66,52,62,54,79,69
67,78,82,56,58,68
68,53,58,76,78,67,62
69,79,86,66,54,61,74
70,93,55,72,81,59
71,65,57,80,61,74,83
72,70,81,60,73,59,85
73,63,75,60,72,84,85
74,86,89,69,61,71,83
75,88,84,63,64,73,77
76,91,87,68,78,62,79
77,64,65,75,88,80,90
78,67,82,92,76,68,91
79,86,69,62,76,87,66,96
80,71,65,90,83,77
81,70,72,93,94,85
82,78,67,92,95,56
83,98,90,80,89,74,71
84,97,85,101,88,75,73
85,84,97,73,72,81,94
86,79,69,96,100,89,74
87,91,76,99,96,79
88,84,75,90,102,77,101
89,83,98,86,100,74,106
90,98,83,88,102,80,105,77
91,87,76,78,92,104,99
92,78,82,95,108,91,104
93,152,17,70,55,81,94,103,128
94,103,93,81,107,97,85
95,92,82,108,119,56,150
96,99,87,79,86,100,109,110
97,84,85,101,111,107,94
98,90,83,89,105,106,112
99,104,114,96,87,91,110
100,96,86,89,106,109
101,84,97,113,111,88,102
102,88,90,117,105,113,101
103,116,128,94,93,107
104,115,108,114,99,92,91
105,98,90,117,102,112,122
106,112,118,100,89,98,109
107,94,97,121,116,111,103
108,92,95,115,104,119
109,126,120,110,118,100,106,96
110,114,125,126,109,96,99
111,113,101,97,107,123,121
112,106,118,122,105,98,127
113,124,117,111,101,123,102
114,104,99,130,115,125,110
115,104,108,130,114,119,129
116,103,128,121,133,107
117,124,113,102,105,122,131
118,127,132,112,106,109,120
119,108,95,115,129,141,150
120,136,126,132,109,118
