crystals/readshock2/rs2p5_1.csv
"freeSpacePoly, inclusive distance. new isAvailPoly that doesnt even use polygons, just center-to-center distance -- lets compare S/N and runtime! 40 worker processes. DrSpeedy"
rad,S_poly,N,S/N,runtime
5,-3299.5833348433616,1232,-2.6782332263338975,33.589566230773926
6,-3206.6069977925195,1232,-2.602765420286136,47.371103048324585
7,-3470.936519708414,1232,-2.817318603659427,77.70167398452759
8,-3316.3240830134855,1231,-2.694008190912661,101.26536321640015
9,-3370.2318081078856,1231,-2.737800006586422,155.3125159740448
10,-3376.2852525060634,1231,-2.7427175081284023,188.57844424247742
11,-3498.0924070840597,1231,-2.8416672681430217,216.0622410774231
12,-3395.5875569822556,1231,-2.7583976904811176,251.93806314468384
13,-3444.568910583273,1231,-2.7981875796777196,352.90751481056213
14,-3439.293836606265,1231,-2.7939023855453007,380.2651059627533
15,-3446.354183544795,1231,-2.7996378420347643,424.21723437309265
16,-3475.707101857788,1231,-2.823482617268715,489.8920044898987
17,-3419.8982546231496,1231,-2.778146429425792,566.9845197200775
18,-3472.860007731839,1231,-2.8211697869470664,620.0153992176056
19,-3440.749366206205,1231,-2.795084781645983,831.7498776912689
20,-3515.797814689849,1231,-2.856050215020186,907.334685087204
21,-3467.35690298217,1232,-2.8144130706024106,928.4133372306824
22,-3512.0031925926987,1232,-2.850651942039528,955.1354341506958
23,-3476.506428940061,1232,-2.82183963387992,1062.2037589550018
24,-3497.984121075222,1232,-2.8392728255480697,1164.3752024173737
25,-3504.222261884442,1232,-2.8443362515295796,1235.645033121109
26,-3534.395037484485,1232,-2.8688271408153287,1583.4778926372528
27,-3511.989164369841,1232,-2.850640555495001,1742.3326551914215
28,-3526.0414150160786,1232,-2.8620466030974665,1786.811996459961
29,-3523.218960342854,1232,-2.8597556496289402,1872.3560073375702
30,-3521.178016181625,1232,-2.858099039108462,2010.8326892852783
31,-3524.031157257861,1232,-2.8604149003716404,2075.13015460968
32,-3525.7995028220275,1232,-2.8618502457971005,2245.4879851341248
33,-3524.4791487088723,1232,-2.8607785297961628,2349.5311300754547
34,-3524.588843496176,1232,-2.8608675677728703,2497.353857278824
35,-3542.7200818843894,1232,-2.8755844820490175,2624.7738823890686
36,-3512.2835322179376,1232,-2.8508794904366375,3388.911814212799
37,-3539.761086205439,1232,-2.873182699842077,3427.8615548610687
38,-3515.6190137551635,1232,-2.853586861814256,3564.5207018852234
39,-3540.5763775589285,1232,-2.873844462304325,3805.968780040741
40,-3533.0883226369015,1232,-2.8677664956468356,3811.5923144817352
41,-3547.2490459525343,1232,-2.879260589247187,4063.5167157649994
42,-3532.6777434736255,1233,-2.865107658940491,4171.585406780243
43,-3549.0244704960246,1233,-2.878365345090044,4339.854248523712
44,-3548.0692537058226,1233,-2.87759063560894,4475.435313940048
45,-3554.4786859254373,1233,-2.8827888774739963,4810.019953727722
46,-3542.901962171469,1233,-2.8733998071139246,5011.750053405762
47,-3542.702926193557,1233,-2.873238382963144,5171.50155043602
