crystals/readshock2/rs2p5_1.csv
"freeSpacePoly, inclusive distance. how does S/N plateau? 40 worker processes. DrSpeedy"
rad,S_poly,N,runtime
5,-3568.9216482539596,1232,33.73530864715576
6,-3483.388643155304,1232,43.770822286605835
7,-3682.6384242099493,1232,71.74069023132324
8,-3316.3240830134855,1231,95.33703279495239
9,-3370.2318081078856,1231,143.85861015319824
10,-3376.2852525060634,1231,178.1985902786255
11,-3575.1496769334713,1231,201.60904359817505
12,-3463.276816206847,1231,232.89337873458862
13,-3499.3806165335645,1231,329.0299572944641
14,-3486.7531932577044,1231,375.1617000102997
15,-3446.354183544795,1231,428.76898288726807
16,-3475.707101857788,1231,470.95924496650696
17,-3419.8982546231496,1231,522.1377291679382
18,-3502.3858166030705,1231,575.8884620666504
19,-3467.1075691966153,1231,771.5922253131866
20,-3540.1842838979314,1231,858.3472945690155
21,-3489.3350512467027,1232,899.3685376644135
22,-3512.0031925926987,1232,995.0429656505585
23,-3476.506428940061,1232,1073.7536854743958
24,-3497.984121075222,1232,1186.6869287490845
25,-3518.860237533518,1232,1324.2357289791107
26,-3548.160203798654,1232,1626.625919342041
27,-3525.426235558341,1232,1688.1111352443695
28,-3538.4431022766757,1232,1800.9752094745636
29,-3523.218960342854,1232,1886.7897963523865
30,-3521.178016181625,1232,2102.785979747772
31,-3524.031157257861,1232,2149.894650220871
32,-3535.2805334799887,1232,2240.0164771080017
33,-3533.4595270133973,1232,2343.2146940231323
34,-3533.199396043797,1232,2489.618617773056
35,-3550.8369389248473,1232,2695.8610236644745
36,-3512.2835322179376,1232,3272.3780364990234
37,-3539.761086205439,1232,3417.0244357585907
38,-3515.6190137551635,1232,3668.7754151821136
39,-3547.212488328585,1232,3799.5714178085327
40,-3539.267236742178,1232,3911.408212661743
41,-3553.1108734645236,1232,4168.799000501633
42,-3538.2533513182925,1233,4205.093614578247
43,-3549.0244704960246,1233,4415.977963685989
44,-3548.0692537058226,1233,4476.323539495468
45,-3554.4786859254373,1233,4816.236602306366
46,-3547.3138504676904,1233,5056.540383815765
47,-3547.2364593432085,1233,5001.84495639801
