crystals/readshock2/rs2p5_1.csv
"freeSpacePoly, inclusive distance. new isAvailPoly that doesnt ue matplotlib -- lets compare S/N and runtime! 40 worker processes. DrSpeedy"
rad,S_poly,N,runtime
5,-3299.5833348433616,1232,31.439720392227173
6,-3206.6069977925195,1232,44.34004354476929
7,-3470.936519708414,1232,73.17317819595337
8,-3316.3240830134855,1231,93.36042070388794
9,-3370.2318081078856,1231,148.2200002670288
10,-3376.2852525060634,1231,188.0843710899353
11,-3498.0924070840597,1231,215.75122690200806
12,-3395.5875569822556,1231,255.59536218643188
13,-3444.568910583273,1231,338.2364172935486
14,-3439.293836606265,1231,386.5281798839569
15,-3446.354183544795,1231,432.28585600852966
16,-3475.707101857788,1231,485.84449577331543
17,-3419.8982546231496,1231,528.2823333740234
18,-3472.860007731839,1231,593.5694086551666
19,-3440.749366206205,1231,765.7201733589172
20,-3515.797814689849,1231,859.7952218055725
21,-3467.35690298217,1232,917.9801847934723
22,-3512.0031925926987,1232,963.6177091598511
23,-3476.506428940061,1232,1041.9220082759857
24,-3497.984121075222,1232,1203.4155850410461
25,-3504.222261884442,1232,1343.9486191272736
26,-3534.395037484485,1232,1655.4125208854675
27,-3511.989164369841,1232,1714.6390252113342
28,-3526.0414150160786,1232,1817.8609414100647
29,-3523.218960342854,1232,1906.2603950500488
30,-3521.178016181625,1232,2069.80197429657
31,-3524.031157257861,1232,2113.500108718872
32,-3525.7995028220275,1232,2275.0648443698883
33,-3524.4791487088723,1232,2375.4178371429443
34,-3524.588843496176,1232,2501.829199075699
35,-3542.7200818843894,1232,2667.069357395172
36,-3512.2835322179376,1232,3407.249514579773
37,-3539.761086205439,1232,3431.244780063629
38,-3515.6190137551635,1232,3667.9786763191223
39,-3540.5763775589285,1232,3725.874862909317
40,-3533.0883226369015,1232,3898.3920958042145
41,-3547.2490459525343,1232,4072.981759786606
42,-3532.6777434736255,1233,4216.881558179855
43,-3549.0244704960246,1233,4401.899134159088
44,-3548.0692537058226,1233,4488.4085903167725
45,-3554.4786859254373,1233,4719.440994501114
46,-3542.901962171469,1233,4920.764543771744
47,-3542.702926193557,1233,5011.949580669403
