readshock2/rs2p5_1.csv
inclusive dist. mar 23. 40 processes. WITH images. will runtimes increase? will there be memory issues?
rad,S,N,S/N,runtime
4,-2868.12885007067,1232,-2.328026664018401,10.973410367965698
5,-3605.417905380919,1232,-2.9264755725494473,22.012547969818115
6,-3412.4978107923303,1232,-2.7698845866820863,32.20672607421875
7,-3000.655417926104,1232,-2.4355969301348246,49.97010612487793
8,-3074.6614779004553,1231,-2.4976941331441553,65.82885026931763
9,-3411.502854330927,1231,-2.7713264454353594,97.79550242424011
10,-3510.6719702483797,1231,-2.8518862471554667,125.13274049758911
11,-3327.358257786239,1231,-2.702971777243086,151.14811491966248
12,-3147.791624985082,1231,-2.5571012388181007,177.882230758667
13,-3377.105075971859,1231,-2.743383489822794,246.98647785186768
14,-3444.283042437219,1231,-2.797955355351112,292.06400203704834
15,-3452.155869749383,1231,-2.8043508283910503,337.9179615974426
16,-3329.032099273378,1231,-2.704331518499901,378.40044355392456
17,-3445.5336358733116,1231,-2.7989712720335596,430.76738929748535
18,-3382.801355729738,1231,-2.7480108494961315,495.13419246673584
19,-3434.8495481233667,1231,-2.7902920780855944,624.62584233284
20,-3423.5982941180337,1231,-2.781152147943163,693.0562233924866
21,-3341.6550478198237,1232,-2.712382344009597,748.9273850917816
22,-3491.6547454579622,1232,-2.8341353453392553,824.7881689071655
23,-3425.203664702945,1232,-2.7801977797913513,898.8011386394501
24,-3410.297430255167,1232,-2.7680985635188042,969.4887673854828
25,-3419.073067886198,1232,-2.775221646011524,1075.484934091568
26,-3493.824235173506,1232,-2.83589629478369,1307.440309047699
27,-3497.0263841901306,1232,-2.838495441712768,1400.833175420761
28,-3439.1400288102004,1232,-2.791509763644643,1489.9428634643555
29,-3425.8757681381276,1232,-2.7807433182939345,1590.2668557167053
30,-3485.689833739224,1232,-2.8292936962169026,1757.5343544483185
31,-3469.3294098852753,1232,-2.8160141314003857,1861.364727973938
32,-3479.320104476107,1232,-2.824123461425412,1917.5133299827576
33,-3442.9963746864387,1232,-2.7946399145182133,2090.7593410015106
34,-3501.8255403862886,1232,-2.8423908607031563,2257.2961478233337
35,-3541.7042132930874,1232,-2.8747599133872463,2370.715411424637
36,-3475.9871256430492,1232,-2.821418121463514,2717.316901445389
37,-3475.8118468056746,1232,-2.821275849679931,3070.595752477646
38,-3433.911541017803,1232,-2.787265861215749,3348.624475479126
39,-3520.694555791292,1232,-2.857706619960464,3823.737515449524
40,-3525.9838421253594,1232,-2.8619998718549997,4228.3134553432465
