readshock2/rs2p5_1.csv
inclusive dist. mar 21. trying to just see how runtimes on expanse look
rad,S,N,S/N,runtime
4,-2868.12885007067,1232,-2.328026664018401,9.319998025894165
5,-3605.417905380919,1232,-2.9264755725494473,18.701650857925415
6,-3412.4978107923303,1232,-2.7698845866820863,28.14614963531494
7,-3000.655417926104,1232,-2.4355969301348246,42.59753465652466
8,-3074.6614779004553,1231,-2.4976941331441553,55.53124976158142
9,-3411.502854330927,1231,-2.7713264454353594,86.64023995399475
10,-3510.6719702483797,1231,-2.8518862471554667,110.26117324829102
11,-3327.358257786239,1231,-2.702971777243086,131.33422255516052
12,-3147.791624985082,1231,-2.5571012388181007,163.46070194244385
13,-3377.105075971859,1231,-2.743383489822794,225.9505114555359
14,-3444.283042437219,1231,-2.797955355351112,268.9322121143341
15,-3452.155869749383,1231,-2.8043508283910503,330.32407546043396
16,-3329.032099273378,1231,-2.704331518499901,398.54409074783325
17,-3445.5336358733116,1231,-2.7989712720335596,480.18201875686646
18,-3382.801355729738,1231,-2.7480108494961315,615.0058028697968
19,-3434.8495481233667,1231,-2.7902920780855944,771.4871954917908
20,-3423.5982941180337,1231,-2.781152147943163,784.5527675151825
21,-3341.6550478198237,1232,-2.712382344009597,803.5120275020599
22,-3491.6547454579622,1232,-2.8341353453392553,845.5520298480988
23,-3425.203664702945,1232,-2.7801977797913513,899.5268993377686
24,-3410.297430255167,1232,-2.7680985635188042,995.8164935112
25,-3419.073067886198,1232,-2.775221646011524,1108.4050316810608
26,-3493.824235173506,1232,-2.83589629478369,1437.1711938381195
27,-3497.0263841901306,1232,-2.838495441712768,1526.7121489048004
28,-3439.1400288102004,1232,-2.791509763644643,1437.4762916564941
29,-3425.8757681381276,1232,-2.7807433182939345,1548.786761045456
30,-3485.689833739224,1232,-2.8292936962169026,1592.9354419708252
31,-3469.3294098852753,1232,-2.8160141314003857,1697.7550947666168
32,-3479.320104476107,1232,-2.824123461425412,1852.7415356636047
33,-3442.9963746864387,1232,-2.7946399145182133,1961.200502872467
34,-3501.8255403862886,1232,-2.8423908607031563,2164.811461210251
35,-3541.7042132930874,1232,-2.8747599133872463,2323.7126681804657
36,-3475.9871256430492,1232,-2.821418121463514,2874.160210132599
37,-3475.8118468056746,1232,-2.821275849679931,3056.816973209381
38,-3433.911541017803,1232,-2.787265861215749,3231.696058034897
39,-3520.694555791292,1232,-2.857706619960464,4079.538676738739
40,-3525.9838421253594,1232,-2.8619998718549997,3907.4843401908875
